Card Name,Quantity,ID #,Rarity,Set,Collector #,Premium,Sideboarded,Match Wins,Match Losses,Game Wins,Game Losses,Date
Spectral Procession,1,54731,Uncommon,C14,90/337,No,No,2,1,5,3,2018-09-06
Porcelain Legionnaire,1,39834,Common,NPH,19/175,No,No,,,,,
Archangel Avacyn,1,59766,Mythic Rare,SOI,5/297,No,No,,,,,
Spear of Heliod,1,50404,Rare,THS,33/249,No,No,,,,,
Armageddon,1,53935,Mythic Rare,V14,1/15,No,No,,,,,
Sun Titan,1,54865,Mythic Rare,C14,91/337,No,No,,,,,
Adanto Vanguard,1,65012,Uncommon,XLN,1/279,No,No,,,,,
"Thalia, Guardian of Thraben",1,43469,Rare,DKA,24/158,No,No,,,,,
Dauntless Bodyguard,1,67493,Uncommon,DAR,14/269,No,No,,,,,
Declaration in Stone,1,59878,Rare,SOI,12/297,No,No,,,,,
Oust,1,36682,Uncommon,ROE,40/248,No,No,,,,,
Banishing Light,1,52214,Uncommon,JOU,5/165,No,No,,,,,
Flickerwisp,1,54737,Uncommon,C14,71/337,No,No,,,,,
Angel of Invention,1,61887,Mythic Rare,KLD,4/264,No,No,,,,,
Blade Splicer,1,39996,Rare,NPH,4/175,No,No,,,,,
Student of Warfare,1,36586,Rare,ROE,47/248,No,No,,,,,
"Brimaz, King of Oreskos",1,51739,Mythic Rare,BNG,5/165,No,No,,,,,
Rishadan Port,1,13359,Rare,MM,324/350,No,No,,,,,
Secure the Wastes,1,55990,Rare,DTK,36/264,No,No,,,,,
Parallax Wave,1,52839,Rare,VMA,37/325,No,No,,,,,
Mother of Runes,1,60871,Rare,EMA,22/249,No,No,,,,,
Loxodon Warhammer,1,55095,Rare,C14,247/337,No,No,,,,,
Mirror Entity,1,57044,Rare,MM2,26/249,No,No,,,,,
"Isamaru, Hound of Konda",1,21409,Rare,CHK,19/306,No,No,,,,,
Skymarcher Aspirant,1,66495,Uncommon,RIX,21/196,No,No,,,,,
Plains,15,53484,Basic Land,M15,250/269,No,No,,,,,
,,,,,,,,,,,,
Necromancy,1,7649,Uncommon,VI,64/167,No,Yes,,,,,
Reveillark,1,29048,Rare,MOR,22/150,No,Yes,,,,,
Relic of Progenitus,1,30895,Common,ALA,218/249,No,Yes,,,,,
Noble Hierarch,1,31745,Rare,CON,87/145,No,Yes,,,,,
Rampaging Baloths,1,34674,Mythic Rare,ZEN,178/249,No,Yes,,,,,
Stirring Wildwood,1,35679,Rare,WWK,144/145,No,Yes,,,,,
"Emrakul, the Aeons Torn",1,36396,Mythic Rare,ROE,4/248,No,Yes,,,,,
"Linvala, Keeper of Silence",1,36656,Mythic Rare,ROE,33/248,No,Yes,,,,,
Razorverge Thicket,1,38299,Rare,SOM,228/249,No,Yes,,,,,
Devil's Play,1,42818,Rare,ISD,140/264,No,Yes,,,,,
Doom Blade,1,49159,Uncommon,M14,96/249,No,Yes,,,,,
Ancient Tomb,1,52697,Rare,VMA,289/325,No,Yes,,,,,
Karmic Guide,1,53019,Rare,VMA,32/325,No,Yes,,,,,
Plateau,1,53081,Rare,VMA,308/325,No,Yes,,,,,
Savannah,1,53085,Rare,VMA,311/325,No,Yes,,,,,
Managorger Hydra,1,58088,Rare,ORI,186/272,No,Yes,,,,,
Faithless Looting,1,59073,Uncommon,PZ1,59/149,No,Yes,,,,,
Forsake the Worldly,1,63628,Common,AKH,13/269,No,Yes,,,,,
The Locust God,1,64762,Mythic Rare,HOU,139/199,No,Yes,,,,,
Settle the Wreckage,1,65080,Rare,XLN,34/279,No,Yes,,,,,
