Card Name,Quantity,ID #,Rarity,Set,Collector #,Premium,Sideboarded,Match Wins,Match Losses,Game Wins,Game Losses,Date
"Jace, Vryn's Prodigy",1,57880,Mythic Rare,ORI,60/272,No,No,2,1,5,3,2018-09-07
Animate Dead,1,52989,Uncommon,VMA,104/325,No,No,,,,,
Reanimate,1,56686,Uncommon,TPR,112/269,No,No,,,,,
Myr Battlesphere,1,54885,Rare,C14,254/337,No,No,,,,,
Remand,1,57372,Uncommon,MM2,55/249,No,No,,,,,
Remove Soul,1,27420,Common,10E,100/383,No,No,,,,,
Search for Azcanta,1,65160,Rare,XLN,74/279,No,No,,,,,
Preordain,1,37388,Common,M11,70/249,No,No,,,,,
Counterspell,1,56520,Uncommon,TPR,43/269,No,No,,,,,
Riftwing Cloudskate,1,25519,Uncommon,TSP,73/301,No,No,,,,,
Careful Consideration,1,49032,Uncommon,MMA,37/229,No,No,,,,,
Compulsive Research,1,59233,Uncommon,PZ1,21/149,No,No,,,,,
Ponder,1,28339,Common,LRW,79/301,No,No,,,,,
Frost Titan,1,54859,Mythic Rare,C14,112/337,No,No,,,,,
Force of Will,1,52913,Rare,VMA,69/325,No,No,,,,,
Buried Alive,1,40618,Uncommon,CMD,74/318,No,No,,,,,
Inquisition of Kozilek,1,36360,Uncommon,ROE,115/248,No,No,,,,,
Inferno Titan,1,41315,Mythic Rare,M12,147/249,No,No,,,,,
Impulse,1,50047,Mythic Rare,V13,5/20,No,No,,,,,
Into the Roil,1,54771,Common,C14,115/337,No,No,,,,,
"Baral, Chief of Compliance",1,62653,Rare,AER,28/184,No,No,,,,,
Force Spike,1,46069,Common,DDJ,14/90,No,No,,,,,
Griselbrand,1,44125,Mythic Rare,AVR,106/244,No,No,,,,,
Makeshift Mannequin,1,28361,Uncommon,LRW,124/301,No,No,,,,,
Island,10,53482,Basic Land,M15,255/269,No,No,,,,,
Swamp,6,53486,Basic Land,M15,258/269,No,No,,,,,
,,,,,,,,,,,,
Sundering Titan,1,20305,Rare,DST,146/165,No,Yes,,,,,
"Venser, Shaper Savant",1,26594,Rare,FUT,46/180,No,Yes,,,,,
Grim Lavamancer,1,41611,Rare,M12,145/249,No,Yes,,,,,
Unburial Rites,1,42482,Uncommon,ISD,122/264,No,Yes,,,,,
Pillar of Flame,1,43899,Common,AVR,149/244,No,Yes,,,,,
Searing Spear,1,45526,Common,M13,147/249,No,Yes,,,,,
Sphinx's Revelation,1,46559,Mythic Rare,RTR,200/274,No,Yes,,,,,
Hypnotic Specter,1,33069,Rare,M10,100/249,No,Yes,,,,,
"Keranos, God of Storms",1,52102,Mythic Rare,JOU,151/165,No,Yes,,,,,
Man-o'-War,1,52627,Common,VMA,79/325,No,Yes,,,,,
Serendib Efreet,1,52857,Uncommon,VMA,93/325,No,Yes,,,,,
Liliana Vess,1,53262,Mythic Rare,M15,103/269,No,Yes,,,,,
Stroke of Genius,1,54703,Rare,C14,129/337,No,Yes,,,,,
Legacy's Allure,1,56732,Rare,TPR,56/269,No,Yes,,,,,
Dark Confidant,1,57344,Mythic Rare,MM2,75/249,No,Yes,,,,,
Read the Bones,1,57752,Common,ORI,114/272,No,Yes,,,,,
Shambling Vent,1,58531,Rare,BFZ,244/274,No,Yes,,,,,
Part the Waterveil,1,58715,Mythic Rare,BFZ,80/274,No,Yes,,,,,
Negate,1,62627,Common,AER,40/184,No,Yes,,,,,
Lingering Souls,1,63357,Uncommon,MM3,12/249,No,Yes,,,,,
Nimble Obstructionist,1,64564,Rare,HOU,40/199,No,Yes,,,,,
