Card Name,Quantity,ID #,Rarity,Set,Collector #,Premium,Sideboarded,Match Wins,Match Losses,Game Wins,Game Losses,Date
Necromancy,1,7649,Uncommon,VI,64/167,No,No,2,1,4,3,2018-09-06
Entomb,1,60881,Rare,EMA,87/249,No,No,,,,,
"Venser, Shaper Savant",1,26594,Rare,FUT,46/180,No,No,,,,,
Serum Visions,1,20956,Common,5DN,36/165,No,No,,,,,
Thoughtseize,1,50256,Rare,THS,107/249,No,No,,,,,
Careful Study,1,16929,Common,OD,70/350,No,No,,,,,
Collective Brutality,1,61144,Rare,EMN,85/205,No,No,,,,,
Gifts Ungiven,1,21335,Rare,CHK,62/306,No,No,,,,,
"Kokusho, the Evening Star",1,21069,Rare,CHK,122/306,No,No,,,,,
"Sheoldred, Whispering One",1,39746,Mythic Rare,NPH,73/175,No,No,,,,,
Consecrated Sphinx,1,39537,Mythic Rare,MBS,21/155,No,No,,,,,
"Liliana, the Last Hope",1,61152,Mythic Rare,EMN,93/205,No,No,,,,,
Recurring Nightmare,1,56910,Mythic Rare,TPR,113/269,No,No,,,,,
Merfolk Looter,1,56940,Common,TPR,61/269,No,No,,,,,
Island,7,53482,Basic Land,M15,255/269,No,No,,,,,
Fatal Push,1,62689,Uncommon,AER,57/184,No,No,,,,,
Exhume,1,43101,Common,PD3,17/30,No,No,,,,,
The Scarab God,1,64774,Mythic Rare,HOU,145/199,No,No,,,,,
Living Death,1,56608,Mythic Rare,TPR,109/269,No,No,,,,,
Terastodon,1,54821,Rare,C14,218/337,No,No,,,,,
Vraska's Contempt,1,65274,Rare,XLN,129/279,No,No,,,,,
Whirler Rogue,1,57926,Uncommon,ORI,83/272,No,No,,,,,
Ultimate Price,1,56408,Uncommon,DTK,124/264,No,No,,,,,
"Ashiok, Nightmare Weaver",1,50310,Mythic Rare,THS,188/249,No,No,,,,,
Swamp,9,53486,Basic Land,M15,258/269,No,No,,,,,
Disfigure,1,34450,Common,ZEN,87/249,No,No,,,,,
,,,,,,,,,,,,
Pernicious Deed,1,36306,Rare,PRM,458/1158,No,Yes,,,,,
Koth of the Hammer,1,38331,Mythic Rare,SOM,94/249,No,Yes,,,,,
Phyrexian Obliterator,1,39754,Mythic Rare,NPH,68/175,No,Yes,,,,,
Honor of the Pure,1,41133,Rare,M12,23/249,No,Yes,,,,,
Isolated Chapel,1,42652,Rare,ISD,242/264,No,Yes,,,,,
Whip of Erebos,1,50408,Rare,THS,110/249,No,Yes,,,,,
Savannah,1,53085,Rare,VMA,311/325,No,Yes,,,,,
Song of the Dryads,1,55149,Rare,C14,47/337,No,Yes,,,,,
"Tasigur, the Golden Fang",1,55338,Rare,FRF,87/185,No,Yes,,,,,
Crux of Fate,1,55450,Rare,FRF,65/185,No,Yes,,,,,
"Liliana, Heretical Healer",1,57940,Mythic Rare,ORI,106/272,No,Yes,,,,,
Pia and Kiran Nalaar,1,57990,Rare,ORI,157/272,No,Yes,,,,,
Sylvan Advocate,1,59567,Rare,OGW,144/184,No,Yes,,,,,
Profane Command,1,57042,Rare,MM2,90/249,No,Yes,,,,,
Duress,1,65226,Common,XLN,105/279,No,Yes,,,,,
Dark Ritual,1,56454,Common,TPR,93/269,No,Yes,,,,,
Hostage Taker,1,65466,Rare,XLN,223/279,No,Yes,,,,,
Dread Shade,1,67641,Rare,DAR,88/269,No,Yes,,,,,
"Tatyova, Benthic Druid",1,67877,Uncommon,DAR,206/269,No,Yes,,,,,
Graveyard Marshal,1,68359,Rare,M19,99/280,No,Yes,,,,,
Isareth the Awakener,1,68369,Rare,M19,104/280,No,Yes,,,,,
