Card Name,Quantity,ID #,Rarity,Set,Collector #,Premium,Sideboarded,Match Wins,Match Losses,Game Wins,Game Losses,Date
"Jace, Vryn's Prodigy",1,57880,Mythic Rare,ORI,60/272,No,No,1,2,2,4,2018-09-07
Fiery Confluence,1,59177,Rare,PZ1,60/149,No,No,,,,,
Fact or Fiction,1,52825,Uncommon,VMA,67/325,No,No,,,,,
Koth of the Hammer,1,38331,Mythic Rare,SOM,94/249,No,No,,,,,
Pyroclasm,1,37544,Uncommon,M11,154/249,No,No,,,,,
Thundermaw Hellkite,1,45414,Mythic Rare,M13,150/249,No,No,,,,,
Lightning Strike,1,65314,Uncommon,XLN,149/279,No,No,,,,,
Kiln Fiend,1,36668,Common,ROE,153/248,No,No,,,,,
Glorybringer,1,63870,Rare,AKH,134/269,No,No,,,,,
Thirst for Knowledge,1,19705,Uncommon,MRD,53/306,No,No,,,,,
"Talrand, Sky Summoner",1,45566,Rare,M13,72/249,No,No,,,,,
Disallow,1,62659,Rare,AER,31/184,No,No,,,,,
Phyrexian Metamorph,1,39734,Rare,NPH,42/175,No,No,,,,,
Ancestral Vision,1,25609,Rare,TSP,48/301,No,No,,,,,
Riftwing Cloudskate,1,25519,Uncommon,TSP,73/301,No,No,,,,,
Electrolyze,1,57454,Uncommon,MM2,174/249,No,No,,,,,
Man-o'-War,1,52627,Common,VMA,79/325,No,No,,,,,
Into the Roil,1,54771,Common,C14,115/337,No,No,,,,,
Force Spike,1,46069,Common,DDJ,14/90,No,No,,,,,
Reflecting Pool,1,29613,Rare,SHM,278/301,No,No,,,,,
Pillar of Flame,1,43899,Common,AVR,149/244,No,No,,,,,
Merfolk Looter,1,56940,Common,TPR,61/269,No,No,,,,,
Volcanic Island,1,53099,Rare,VMA,324/325,No,No,,,,,
Bloodstained Mire,1,54198,Rare,KTK,230/269,No,No,,,,,
"Sarkhan, the Dragonspeaker",1,54246,Mythic Rare,KTK,119/269,No,No,,,,,
Opposition,1,12821,Rare,UD,40/143,No,No,,,,,
Augur of Bolas,1,45544,Uncommon,M13,43/249,No,No,,,,,
Island,7,53482,Basic Land,M15,255/269,No,No,,,,,
Mountain,6,53480,Basic Land,M15,263/269,No,No,,,,,
,,,,,,,,,,,,
Oblivion Stone,1,20101,Rare,MRD,222/306,No,Yes,,,,,
Meloku the Clouded Mirror,1,21121,Rare,CHK,74/306,No,Yes,,,,,
Terminate,1,32234,Common,ARB,46/145,No,Yes,,,,,
Phyrexian Arena,1,35497,Rare,DDE,27/71,No,Yes,,,,,
"Linvala, Keeper of Silence",1,36656,Mythic Rare,ROE,33/248,No,Yes,,,,,
Blackcleave Cliffs,1,38293,Rare,SOM,224/249,No,Yes,,,,,
Honor of the Pure,1,41133,Rare,M12,23/249,No,Yes,,,,,
Lightning Mauler,1,44201,Uncommon,AVR,144/244,No,Yes,,,,,
Dreadbore,1,46443,Rare,RTR,157/274,No,Yes,,,,,
Nightveil Specter,1,47751,Rare,GTC,222/249,No,Yes,,,,,
Rift Bolt,1,48844,Common,MMA,126/229,No,Yes,,,,,
Ire Shaman,1,56102,Rare,DTK,141/264,No,Yes,,,,,
Banefire,1,57128,Rare,MM2,104/249,No,Yes,,,,,
Read the Bones,1,57752,Common,ORI,114/272,No,Yes,,,,,
"Kytheon, Hero of Akros",1,57876,Mythic Rare,ORI,23/272,No,Yes,,,,,
Falkenrath Gorger,1,59776,Rare,SOI,155/297,No,Yes,,,,,
Scrapheap Scrounger,1,62087,Rare,KLD,231/264,No,Yes,,,,,
Sunbird's Invocation,1,65346,Rare,XLN,165/279,No,Yes,,,,,
