Card Name,Quantity,ID #,Rarity,Set,Collector #,Premium,Sideboarded,Match Wins,Match Losses,Game Wins,Game Losses,Date
Phyrexian Metamorph,1,39734,Rare,NPH,42/175,No,No,2,1,5,2,2018-09-08
Force of Will,1,52913,Rare,VMA,69/325,No,No,,,,,
Wasteland,1,56700,Rare,TPR,249/269,No,No,,,,,
Phantasmal Image,1,41369,Rare,M12,72/249,No,No,,,,,
Field of Ruin,1,65538,Uncommon,XLN,254/279,No,No,,,,,
Compulsive Research,1,59233,Uncommon,PZ1,21/149,No,No,,,,,
Impulse,1,50047,Mythic Rare,V13,5/20,No,No,,,,,
Dismiss,1,56738,Uncommon,TPR,45/269,No,No,,,,,
Looter il-Kor,1,25851,Common,TSP,66/301,No,No,,,,,
Miscalculation,1,12607,Common,UL,36/143,No,No,,,,,
Island,14,53482,Basic Land,M15,255/269,No,No,,,,,
Disallow,1,62659,Rare,AER,31/184,No,No,,,,,
Frost Titan,1,54859,Mythic Rare,C14,112/337,No,No,,,,,
Counterspell,1,56520,Uncommon,TPR,43/269,No,No,,,,,
Remand,1,57372,Uncommon,MM2,55/249,No,No,,,,,
Mulldrifter,1,57022,Uncommon,MM2,51/249,No,No,,,,,
Search for Azcanta,1,65160,Rare,XLN,74/279,No,No,,,,,
"Tamiyo, the Moon Sage",1,43979,Mythic Rare,AVR,79/244,No,No,,,,,
Cryptic Command,1,57046,Rare,MM2,43/249,No,No,,,,,
Old Man of the Sea,1,43644,Rare,PRM,945/1158,No,No,,,,,
"Baral, Chief of Compliance",1,62653,Rare,AER,28/184,No,No,,,,,
Daze,1,31580,Common,DD2,23/62,No,No,,,,,
Fact or Fiction,1,52825,Uncommon,VMA,67/325,No,No,,,,,
Augur of Bolas,1,45544,Uncommon,M13,43/249,No,No,,,,,
"Jace, Architect of Thought",1,46549,Mythic Rare,RTR,44/274,No,No,,,,,
Serum Visions,1,20956,Common,5DN,36/165,No,No,,,,,
Master of Waves,1,50550,Mythic Rare,THS,53/249,No,No,,,,,
,,,,,,,,,,,,
Relic of Progenitus,1,30895,Common,ALA,218/249,No,Yes,,,,,
Deceiver Exarch,1,39726,Uncommon,NPH,33/175,No,Yes,,,,,
Inferno Titan,1,41315,Mythic Rare,M12,147/249,No,Yes,,,,,
"Talrand, Sky Summoner",1,45566,Rare,M13,72/249,No,Yes,,,,,
Izzet Charm,1,46433,Uncommon,RTR,172/274,No,Yes,,,,,
Careful Consideration,1,49032,Uncommon,MMA,37/229,No,Yes,,,,,
"Keranos, God of Storms",1,52102,Mythic Rare,JOU,151/165,No,Yes,,,,,
Plateau,1,53081,Rare,VMA,308/325,No,Yes,,,,,
Forbid,1,56798,Rare,TPR,50/269,No,Yes,,,,,
"Kiki-Jiki, Mirror Breaker",1,57340,Mythic Rare,MM2,121/249,No,Yes,,,,,
Faithless Looting,1,59073,Uncommon,PZ1,59/149,No,Yes,,,,,
"Chandra, Torch of Defiance",1,61573,Mythic Rare,KLD,110/264,No,Yes,,,,,
Negate,1,62627,Common,AER,40/184,No,Yes,,,,,
Censor,1,63694,Uncommon,AKH,46/269,No,Yes,,,,,
Chart a Course,1,65108,Uncommon,XLN,48/279,No,Yes,,,,,
Force Spike,1,46069,Common,DDJ,14/90,No,Yes,,,,,
Mystic Snake,1,57272,Rare,MM2,180/249,No,Yes,,,,,
Shivan Fire,1,67749,Common,DAR,142/269,No,Yes,,,,,
Jace Beleren,1,28469,Rare,LRW,71/301,No,Yes,,,,,
