Card Name,Quantity,ID #,Rarity,Set,Collector #,Premium,Sideboarded,Match Wins,Match Losses,Game Wins,Game Losses,Date
Polluted Delta,1,54196,Rare,KTK,239/269,No,No,0,3,1,6,08/15/18
Grim Monolith,1,12551,Rare,UL,126/143,No,No,,,,,
Remand,1,23174,Uncommon,RAV,63/306,No,No,,,,,
Gemstone Mine,1,26099,Rare,TSB,119/121,No,No,,,,,
Jayemdae Tome,1,57658,Uncommon,ORI,231/272,No,No,,,,,
Island,7,61833,Basic Land,KLD,254/264,No,No,,,,,
Careful Consideration,1,25501,Uncommon,TSP,52/301,No,No,,,,,
Mindslaver,1,38261,Mythic Rare,SOM,176/249,No,No,,,,,
Plains,4,61841,Basic Land,KLD,251/264,No,No,,,,,
Land Tax,1,36855,Rare,PRM,513/1158,No,No,,,,,
Mulldrifter,1,28245,Common,LRW,76/301,No,No,,,,,
Nevinyrral's Disk,1,60657,Rare,EMA,228/249,No,No,,,,,
Capsize,1,56530,Uncommon,TPR,42/269,No,No,,,,,
Upheaval,1,52931,Mythic Rare,VMA,100/325,No,No,,,,,
Armageddon,1,66924,Mythic Rare,A25,5/249,No,No,,,,,
Vampiric Tutor,1,60901,Mythic Rare,EMA,112/249,No,No,,,,,
Strip Mine,1,52853,Rare,VMA,316/325,No,No,,,,,
Ancient Tomb,1,52697,Rare,VMA,289/325,No,No,,,,,
Vendilion Clique,1,28946,Rare,MOR,55/150,No,No,,,,,
Lotus Petal,1,56432,Uncommon,TPR,225/269,No,No,,,,,
Preordain,1,37388,Common,M11,70/249,No,No,,,,,
Compulsive Research,1,23294,Common,RAV,40/306,No,No,,,,,
Force of Will,1,60887,Mythic Rare,EMA,49/249,No,No,,,,,
Scroll Rack,1,58951,Rare,PZ1,126/149,No,No,,,,,
Impulse,1,7589,Common,VI,34/167,No,No,,,,,
Thraben Inspector,1,60240,Common,SOI,44/297,No,No,,,,,
Meloku the Clouded Mirror,1,21121,Rare,CHK,74/306,No,No,,,,,
Spectral Procession,1,29605,Uncommon,SHM,23/301,No,No,,,,,
Underground River,1,27438,Rare,10E,362/383,No,No,,,,,
"Elspeth, Knight-Errant",1,30927,Mythic Rare,ALA,9/249,No,No,,,,,
Swamp,1,61847,Basic Land,KLD,256/264,No,No,,,,,
,,,,,,,,,,,,
Kodama's Reach,1,21003,Common,CHK,225/306,No,Yes,,,,,
Plumeveil,1,29665,Uncommon,SHM,145/301,No,Yes,,,,,
Earthquake,1,32685,Rare,M10,134/249,No,Yes,,,,,
Memnite,1,37979,Uncommon,SOM,174/249,No,Yes,,,,,
Feeling of Dread,1,42644,Common,ISD,14/264,No,Yes,,,,,
Last Breath,1,50324,Common,THS,22/249,No,Yes,,,,,
Reprisal,1,52242,Uncommon,JOU,23/165,No,Yes,,,,,
Savannah,1,53085,Rare,VMA,311/325,No,Yes,,,,,
Psychatog,1,53231,Uncommon,VMA,258/325,No,Yes,,,,,
Sengir Vampire,1,53903,Uncommon,M15,277/269,No,Yes,,,,,
Island,11,61833,Basic Land,KLD,254/264,No,Yes,,,,,
Knight of the White Orchid,1,57632,Rare,ORI,21/272,No,Yes,,,,,
Hallowed Moonlight,1,57856,Rare,ORI,16/272,No,Yes,,,,,
Swamp,1,61847,Basic Land,KLD,256/264,No,Yes,,,,,
Compulsion,1,17163,Uncommon,TOR,34/143,No,Yes,,,,,
Masticore,1,52895,Rare,VMA,275/325,No,Yes,,,,,
Endless One,1,58743,Rare,BFZ,8/274,No,Yes,,,,,
"Teferi, Mage of Zhalfir",1,25367,Rare,TSP,83/301,No,Yes,,,,,
Contagion,1,62485,Promo,PRM,/1158,No,Yes,,,,,
