Card Name,Quantity,ID #,Rarity,Set,Collector #,Premium,Sideboarded,Match Wins,Match Losses,Game Wins,Game Losses,Date
Strip Mine,1,52853,Rare,VMA,316/325,No,No,2,1,6,3,08/15/18
Ancient Tomb,1,52697,Rare,VMA,289/325,No,No,,,,,
Mindslaver,1,38261,Mythic Rare,SOM,176/249,No,No,,,,,
Solemn Simulacrum,1,41545,Rare,M12,217/249,No,No,,,,,
Doom Blade,1,49159,Uncommon,M14,96/249,No,No,,,,,
Meloku the Clouded Mirror,1,21121,Rare,CHK,74/306,No,No,,,,,
Thought-Knot Seer,1,59463,Rare,OGW,9/184,No,No,,,,,
Pestermite,1,28241,Common,LRW,78/301,No,No,,,,,
Hangarback Walker,1,58128,Rare,ORI,229/272,No,No,,,,,
Underground River,1,27438,Rare,10E,362/383,No,No,,,,,
Aether Hub,1,62091,Uncommon,KLD,242/264,No,No,,,,,
Jayemdae Tome,1,57658,Uncommon,ORI,231/272,No,No,,,,,
Dimir Signet,1,23562,Common,RAV,260/306,No,No,,,,,
Flooded Strand,1,54194,Rare,KTK,233/269,No,No,,,,,
Remand,1,23174,Uncommon,RAV,63/306,No,No,,,,,
Torrential Gearhulk,1,61917,Mythic Rare,KLD,67/264,No,No,,,,,
Morphling,1,52773,Mythic Rare,VMA,81/325,No,No,,,,,
Mox Opal,1,38197,Mythic Rare,SOM,179/249,No,No,,,,,
Thoughtcast,1,19787,Common,MRD,54/306,No,No,,,,,
Tolarian Academy,1,52761,Mythic Rare,VMA,319/325,No,No,,,,,
Force Spike,1,15530,Common,7E,76/350,No,No,,,,,
Memnite,1,37979,Uncommon,SOM,174/249,No,No,,,,,
Lotus Petal,1,56432,Uncommon,TPR,225/269,No,No,,,,,
Godless Shrine,1,47453,Rare,GTC,242/249,No,No,,,,,
Vendilion Clique,1,28946,Rare,MOR,55/150,No,No,,,,,
"Venser, Shaper Savant",1,26594,Rare,FUT,46/180,No,No,,,,,
Mutavault,1,49135,Rare,M14,228/249,No,No,,,,,
"Jace, Architect of Thought",1,46549,Mythic Rare,RTR,44/274,No,No,,,,,
Prismatic Lens,1,25793,Common,TSP,262/301,No,No,,,,,
Chrome Mox,1,19831,Rare,MRD,152/306,No,No,,,,,
Dismember,1,39944,Uncommon,NPH,57/175,No,No,,,,,
Hallowed Fountain,1,46503,Rare,RTR,241/274,No,No,,,,,
Scroll Rack,1,58951,Rare,PZ1,126/149,No,No,,,,,
Island,6,61833,Basic Land,KLD,254/264,No,No,,,,,
Swamp,1,61847,Basic Land,KLD,256/264,No,No,,,,,
,,,,,,,,,,,,
Arcbound Worker,1,20559,Common,DST,104/165,No,Yes,,,,,
Nekrataal,1,27054,Uncommon,10E,163/383,No,Yes,,,,,
Order of the Ebon Hand,1,28009,Common,MED,78/195,No,Yes,,,,,
Illusions of Grandeur,1,28049,Rare,MED,40/195,No,Yes,,,,,
Fireslinger,1,31536,Common,DD2,36/62,No,Yes,,,,,
Sylvok Lifestaff,1,38173,Common,SOM,209/249,No,Yes,,,,,
Flayer Husk,1,39583,Common,MBS,107/155,No,Yes,,,,,
Voice of Resurgence,1,48302,Mythic Rare,DGM,114/156,No,Yes,,,,,
Frogmite,1,20247,Common,MRD,172/306,No,Yes,,,,,
Wild Slash,1,55592,Uncommon,FRF,118/185,No,Yes,,,,,
Transgress the Mind,1,58385,Uncommon,BFZ,101/274,No,Yes,,,,,
Dread Wanderer,1,63778,Rare,AKH,88/269,No,Yes,,,,,
