Card Name,Quantity,ID #,Rarity,Set,Collector #,Premium,Sideboarded,Match Wins,Match Losses,Game Wins,Game Losses,Date
Strip Mine,1,52853,Rare,VMA,316/325,No,No,1,2,3,4,8/16/2018
Sphere of the Suns,1,39403,Uncommon,MBS,134/155,No,No,,,,,
"Gideon, Ally of Zendikar",1,58317,Mythic Rare,BFZ,29/274,No,No,,,,,
Burst Lightning,1,34408,Common,ZEN,119/249,No,No,,,,,
Wooded Foothills,1,54200,Rare,KTK,249/269,No,No,,,,,
Searing Blood,1,51833,Uncommon,BNG,111/165,No,No,,,,,
Galvanic Blast,1,38203,Common,SOM,91/249,No,No,,,,,
Gideon Jura,1,41273,Mythic Rare,M12,16/249,No,No,,,,,
Serra Angel,1,67531,Uncommon,DAR,33/269,No,No,,,,,
Silverblade Paladin,1,44279,Rare,AVR,36/244,No,No,,,,,
Akroma's Vengeance,1,66920,Rare,A25,3/249,No,No,,,,,
"Elspeth, Sun's Champion",1,50304,Mythic Rare,THS,9/249,No,No,,,,,
Arc Lightning,1,54114,Uncommon,KTK,97/269,No,No,,,,,
Fire Diamond,1,55221,Uncommon,C14,240/337,No,No,,,,,
Clifftop Retreat,1,67943,Rare,DAR,239/269,No,No,,,,,
Chrome Mox,1,19831,Rare,MRD,152/306,No,No,,,,,
Student of Warfare,1,36586,Rare,ROE,47/248,No,No,,,,,
Abrade,1,64650,Uncommon,HOU,83/199,No,No,,,,,
Inspiring Vantage,1,61855,Rare,KLD,246/264,No,No,,,,,
Soul-Scar Mage,1,63898,Rare,AKH,148/269,No,No,,,,,
Stasis Snare,1,58337,Uncommon,BFZ,50/274,No,No,,,,,
Char,1,23212,Rare,RAV,117/306,No,No,,,,,
Umezawa's Jitte,1,21603,Rare,BOK,163/165,No,No,,,,,
Decree of Justice,1,66936,Rare,A25,11/249,No,No,,,,,
Exalted Angel,1,17643,Rare,ONS,28/350,No,No,,,,,
Baneslayer Angel,1,37574,Mythic Rare,M11,7/249,No,No,,,,,
Thraben Inspector,1,60240,Common,SOI,44/297,No,No,,,,,
Hero of Bladehold,1,39539,Mythic Rare,MBS,8/155,No,No,,,,,
Plains,8,61841,Basic Land,KLD,251/264,No,No,,,,,
Mountain,4,61837,Basic Land,KLD,261/264,No,No,,,,,
,,,,,,,,,,,,
Moment's Peace,1,16967,Common,OD,251/350,No,Yes,,,,,
Detonate,1,19965,Uncommon,MRD,88/306,No,Yes,,,,,
Grove of the Burnwillows,1,26710,Rare,FUT,176/180,No,Yes,,,,,
Green Sun's Zenith,1,39581,Rare,MBS,81/155,No,Yes,,,,,
Feeling of Dread,1,42644,Common,ISD,14/264,No,Yes,,,,,
Lingering Souls,1,43359,Uncommon,DKA,12/158,No,Yes,,,,,
Entreat the Angels,1,43805,Mythic Rare,AVR,20/244,No,Yes,,,,,
Rootborn Defenses,1,46303,Common,RTR,19/274,No,Yes,,,,,
Last Breath,1,50324,Common,THS,22/249,No,Yes,,,,,
Akroma's Blessing,1,53029,Uncommon,VMA,11/325,No,Yes,,,,,
Murderous Cut,1,54104,Uncommon,KTK,81/269,No,Yes,,,,,
Elvish Visionary,1,57630,Common,ORI,175/272,No,Yes,,,,,
Hallowed Moonlight,1,57856,Rare,ORI,16/272,No,Yes,,,,,
Oath of Nissa,1,59393,Rare,OGW,140/184,No,Yes,,,,,
"Jareth, Leonine Titan",1,60761,Rare,EMA,16/249,No,Yes,,,,,
Village Messenger,1,60028,Uncommon,SOI,190/297,No,Yes,,,,,
Ranger of Eos,1,30893,Rare,ALA,21/249,No,Yes,,,,,
