Card Name,Quantity,ID #,Rarity,Set,Collector #,Premium,Sideboarded,Match Wins,Match Losses,Game Wins,Game Losses,Date
Nameless Inversion,1,28569,Common,LRW,128/301,No,No,2,1,4,4,8/16/2018
Secure the Wastes,1,55990,Rare,DTK,36/264,No,No,,,,,
Bad River,1,52603,Uncommon,VMA,290/325,No,No,,,,,
Siege-Gang Commander,1,67751,Rare,DAR,143/269,No,No,,,,,
Arc Lightning,1,54114,Uncommon,KTK,97/269,No,No,,,,,
Blood Crypt,1,46505,Rare,RTR,238/274,No,No,,,,,
Wild Slash,1,55592,Uncommon,FRF,118/185,No,No,,,,,
Stasis Snare,1,58337,Uncommon,BFZ,50/274,No,No,,,,,
"Sorin, Solemn Visitor",1,54258,Mythic Rare,KTK,202/269,No,No,,,,,
Liliana's Mastery,1,63798,Rare,AKH,98/269,No,No,,,,,
Hordeling Outburst,1,54362,Uncommon,KTK,111/269,No,No,,,,,
Bitterblossom,1,29038,Rare,MOR,58/150,No,No,,,,,
Archangel Avacyn,1,59766,Mythic Rare,SOI,5/297,No,No,,,,,
Vampiric Tutor,1,60901,Mythic Rare,EMA,112/249,No,No,,,,,
Profane Command,1,28493,Rare,LRW,135/301,No,No,,,,,
Abrade,1,64650,Uncommon,HOU,83/199,No,No,,,,,
Terminate,1,32234,Common,ARB,46/145,No,No,,,,,
Sulfurous Springs,1,27436,Rare,10E,359/383,No,No,,,,,
Dragon Fodder,1,57622,Common,ORI,140/272,No,No,,,,,
Baneslayer Angel,1,37574,Mythic Rare,M11,7/249,No,No,,,,,
Badlands,1,53077,Rare,VMA,291/325,No,No,,,,,
Doom Blade,1,49159,Uncommon,M14,96/249,No,No,,,,,
Lightning Strike,1,65314,Uncommon,XLN,149/279,No,No,,,,,
Hymn to Tourach,1,60783,Uncommon,EMA,92/249,No,No,,,,,
Stupor,1,26079,Rare,TSB,48/121,No,No,,,,,
Evolving Wilds,1,66839,Common,RIX,186/196,No,No,,,,,
Utter End,1,54188,Rare,KTK,210/269,No,No,,,,,
Searing Blood,1,51833,Uncommon,BNG,111/165,No,No,,,,,
Plains,6,61841,Basic Land,KLD,251/264,No,No,,,,,
Swamp,3,61847,Basic Land,KLD,256/264,No,No,,,,,
Mountain,3,61837,Basic Land,KLD,261/264,No,No,,,,,
,,,,,,,,,,,,
Arc-Slogger,1,20139,Rare,MRD,85/306,No,Yes,,,,,
Pulse of the Forge,1,20473,Rare,DST,66/165,No,Yes,,,,,
Nekrataal,1,27054,Uncommon,10E,163/383,No,Yes,,,,,
Putrid Leech,1,32340,Common,ARB,95/145,No,Yes,,,,,
Glint Hawk,1,38167,Common,SOM,10/249,No,Yes,,,,,
Sylvok Lifestaff,1,38173,Common,SOM,209/249,No,Yes,,,,,
Slagstorm,1,39523,Rare,MBS,75/155,No,Yes,,,,,
Devil's Play,1,42818,Rare,ISD,140/264,No,Yes,,,,,
Cloudfin Raptor,1,47523,Common,GTC,32/249,No,Yes,,,,,
Reprisal,1,52242,Uncommon,JOU,23/165,No,Yes,,,,,
Zurgo Bellstriker,1,56050,Rare,DTK,169/264,No,Yes,,,,,
Relentless Dead,1,60018,Mythic Rare,SOI,131/297,No,Yes,,,,,
Village Messenger,1,60028,Uncommon,SOI,190/297,No,Yes,,,,,
Dark Salvation,1,61174,Rare,EMN,87/205,No,Yes,,,,,
"Kari Zev, Skyship Raider",1,62745,Rare,AER,87/184,No,Yes,,,,,
Soul-Scar Mage,1,63898,Rare,AKH,148/269,No,Yes,,,,,
Serra Angel,1,67531,Uncommon,DAR,33/269,No,Yes,,,,,
