Card Name,Quantity,ID #,Rarity,Set,Collector #,Premium,Sideboarded,Match Wins,Match Losses,Game Wins,Game Losses,Date
Hazoret the Fervent,1,63874,Mythic Rare,AKH,136/269,No,No,3,0,6,1,08/16/18
Bomat Courier,1,62075,Rare,KLD,199/264,No,No,,,,,
Path to Exile,1,31733,Uncommon,CON,15/145,No,No,,,,,
Hero of Bladehold,1,39539,Mythic Rare,MBS,8/155,No,No,,,,,
Gideon Jura,1,41273,Mythic Rare,M12,16/249,No,No,,,,,
Flooded Strand,1,54194,Rare,KTK,233/269,No,No,,,,,
Reflecting Pool,1,29613,Rare,SHM,278/301,No,No,,,,,
Silverblade Paladin,1,44279,Rare,AVR,36/244,No,No,,,,,
Skyknight Legionnaire,1,47583,Common,GTC,197/249,No,No,,,,,
Hordeling Outburst,1,54362,Uncommon,KTK,111/269,No,No,,,,,
Siege-Gang Commander,1,67751,Rare,DAR,143/269,No,No,,,,,
Flametongue Kavu,1,59025,Uncommon,PZ1,61/149,No,No,,,,,
Stoke the Flames,1,53544,Uncommon,M15,164/269,No,No,,,,,
Char,1,23212,Rare,RAV,117/306,No,No,,,,,
Clifftop Retreat,1,67943,Rare,DAR,239/269,No,No,,,,,
Inferno Titan,1,41315,Mythic Rare,M12,147/249,No,No,,,,,
Devil's Play,1,42818,Rare,ISD,140/264,No,No,,,,,
Exquisite Firecraft,1,58016,Rare,ORI,143/272,No,No,,,,,
Inspiring Vantage,1,61855,Rare,KLD,246/264,No,No,,,,,
Soul-Scar Mage,1,63898,Rare,AKH,148/269,No,No,,,,,
Burst Lightning,1,34408,Common,ZEN,119/249,No,No,,,,,
Ajani Vengeant,1,30923,Mythic Rare,ALA,154/249,No,No,,,,,
"Kari Zev, Skyship Raider",1,62745,Rare,AER,87/184,No,No,,,,,
Skizzik,1,67755,Uncommon,DAR,145/269,No,No,,,,,
Needle Spires,1,59257,Rare,OGW,175/184,No,No,,,,,
Arc Lightning,1,54114,Uncommon,KTK,97/269,No,No,,,,,
Boros Reckoner,1,47921,Rare,GTC,215/249,No,No,,,,,
Abbot of Keral Keep,1,58042,Rare,ORI,127/272,No,No,,,,,
Plains,5,61841,Basic Land,KLD,251/264,No,No,,,,,
Mountain,7,61837,Basic Land,KLD,261/264,No,No,,,,,
,,,,,,,,,,,,
Gempalm Incinerator,1,18511,Uncommon,LGN,94/145,No,Yes,,,,,
Detonate,1,19965,Uncommon,MRD,88/306,No,Yes,,,,,
Burning-Tree Shaman,1,23823,Rare,GPT,105/165,No,Yes,,,,,
Mogg Fanatic,1,27078,Uncommon,10E,219/383,No,Yes,,,,,
Order of Leitbur,1,28007,Common,MED,22/195,No,Yes,,,,,
Memnite,1,37979,Uncommon,SOM,174/249,No,Yes,,,,,
Primeval Titan,1,41307,Mythic Rare,M12,188/249,No,Yes,,,,,
Doomed Traveler,1,42650,Common,ISD,11/264,No,Yes,,,,,
Champion of the Parish,1,42828,Rare,ISD,6/264,No,Yes,,,,,
Cyclonic Rift,1,46733,Rare,RTR,35/274,No,Yes,,,,,
Masticore,1,52895,Rare,VMA,275/325,No,Yes,,,,,
Akroma's Blessing,1,53029,Uncommon,VMA,11/325,No,Yes,,,,,
Shrapnel Blast,1,53284,Uncommon,M15,161/269,No,Yes,,,,,
Frenzied Goblin,1,53780,Uncommon,M15,142/269,No,Yes,,,,,
"Jareth, Leonine Titan",1,60761,Rare,EMA,16/249,No,Yes,,,,,
Icy Manipulator,1,67903,Uncommon,DAR,219/269,No,Yes,,,,,
Chrome Mox,1,19831,Rare,MRD,152/306,No,Yes,,,,,
