Card Name,Quantity,ID #,Rarity,Set,Collector #,Premium,Sideboarded,Match Wins,Match Losses,Game Wins,Game Losses,Date
Inferno Titan,1,41315,Mythic Rare,M12,147/249,No,No,3,0,6,0,8/16/2018
Hymn to Tourach,1,60783,Uncommon,EMA,92/249,No,No,,,,,
Burst Lightning,1,34408,Common,ZEN,119/249,No,No,,,,,
Terminate,1,32234,Common,ARB,46/145,No,No,,,,,
Sacred Foundry,1,47815,Rare,GTC,245/249,No,No,,,,,
Hero of Bladehold,1,39539,Mythic Rare,MBS,8/155,No,No,,,,,
Boros Signet,1,23566,Common,RAV,255/306,No,No,,,,,
Wild Slash,1,55592,Uncommon,FRF,118/185,No,No,,,,,
Decree of Justice,1,66936,Rare,A25,11/249,No,No,,,,,
Utter End,1,54188,Rare,KTK,210/269,No,No,,,,,
Akroma's Vengeance,1,66920,Rare,A25,3/249,No,No,,,,,
Ultimate Price,1,56408,Uncommon,DTK,124/264,No,No,,,,,
Phyrexian Scuta,1,15205,Rare,PS,51/143,No,No,,,,,
Blood Crypt,1,46505,Rare,RTR,238/274,No,No,,,,,
"Elspeth, Knight-Errant",1,30927,Mythic Rare,ALA,9/249,No,No,,,,,
Doom Blade,1,49159,Uncommon,M14,96/249,No,No,,,,,
Arid Mesa,1,34414,Rare,ZEN,211/249,No,No,,,,,
Scrubland,1,53087,Rare,VMA,313/325,No,No,,,,,
Sulfurous Springs,1,27436,Rare,10E,359/383,No,No,,,,,
Disfigure,1,34450,Common,ZEN,87/249,No,No,,,,,
Liliana's Mastery,1,63798,Rare,AKH,98/269,No,No,,,,,
Stupor,1,26079,Rare,TSB,48/121,No,No,,,,,
Thoughtseize,1,50256,Rare,THS,107/249,No,No,,,,,
Read the Bones,1,57752,Common,ORI,114/272,No,No,,,,,
Vampiric Tutor,1,60901,Mythic Rare,EMA,112/249,No,No,,,,,
Ruinous Path,1,58407,Rare,BFZ,123/274,No,No,,,,,
Wooded Foothills,1,54200,Rare,KTK,249/269,No,No,,,,,
Blightning,1,30983,Common,ALA,156/249,No,No,,,,,
Galvanic Blast,1,38203,Common,SOM,91/249,No,No,,,,,
Plains,3,61841,Basic Land,KLD,251/264,No,No,,,,,
Swamp,5,61847,Basic Land,KLD,256/264,No,No,,,,,
Mountain,3,61837,Basic Land,KLD,261/264,No,No,,,,,
,,,,,,,,,,,,
Urza's Rage,1,14365,Rare,IN,178/350,No,Yes,,,,,
Plague Spitter,1,14995,Uncommon,IN,119/350,No,Yes,,,,,
Lightning Helix,1,23154,Uncommon,RAV,213/306,No,Yes,,,,,
Sudden Death,1,25743,Uncommon,TSP,134/301,No,Yes,,,,,
Damnation,1,26279,Rare,PLC,85/165,No,Yes,,,,,
Ethersworn Canonist,1,30999,Rare,ALA,10/249,No,Yes,,,,,
Creeping Tar Pit,1,35657,Rare,WWK,134/145,No,Yes,,,,,
Black Knight,1,37212,Uncommon,M11,83/249,No,Yes,,,,,
Slagstorm,1,39523,Rare,MBS,75/155,No,Yes,,,,,
Skyknight Legionnaire,1,47583,Common,GTC,197/249,No,Yes,,,,,
Giant Growth,1,49107,Common,M14,174/249,No,Yes,,,,,
Cursed Scroll,1,56592,Mythic Rare,TPR,220/269,No,Yes,,,,,
Pia Nalaar,1,61719,Rare,KLD,124/264,No,Yes,,,,,
Bomat Courier,1,62075,Rare,KLD,199/264,No,Yes,,,,,
Goblin Chainwhirler,1,67723,Rare,DAR,129/269,No,Yes,,,,,
Skizzik,1,67755,Uncommon,DAR,145/269,No,Yes,,,,,
