Card Name,Quantity,ID #,Rarity,Set,Collector #,Premium,Sideboarded,Match Wins,Match Loss,Game Wins,Game Loss,Date
Murder,1,68381,Uncommon,M19,110/280,No,No,2,1,5,2,7/13/2018
Skeleton Archer,1,68397,Common,M19,118/280,No,No,,,,,
Gargoyle Sentinel,1,68635,Uncommon,M19,236/280,No,No,,,,,
Skymarch Bloodletter,1,68399,Common,M19,119/280,No,No,,,,,
Sift,1,68305,Uncommon,M19,72/280,No,No,,,,,
Explosive Apparatus,1,68629,Common,M19,233/280,No,No,,,,,
Snapping Drake,1,68311,Common,M19,75/280,No,No,,,,,
Submerged Boneyard,1,68677,Common,M19,257/280,No,No,,,,,
Anticipate,1,68249,Common,M19,44/280,No,No,,,,,
Essence Scatter,1,68269,Common,M19,54/280,No,No,,,,,
Vampire Sovereign,2,68411,Uncommon,M19,125/280,No,No,,,,,
Salvager of Secrets,1,68301,Common,M19,70/280,No,No,,,,,
Omenspeaker,1,68289,Common,M19,64/280,No,No,,,,,
Lich's Caress,1,68371,Common,M19,105/280,No,No,,,,,
Duress,1,68349,Common,M19,94/280,No,No,,,,,
Fountain of Renewal,1,68633,Uncommon,M19,235/280,No,No,,,,,
Tolarian Scholar,1,68321,Common,M19,80/280,No,No,,,,,
Exclusion Mage,1,68271,Uncommon,M19,55/280,No,No,,,,,
Skyscanner,1,68653,Common,M19,245/280,No,No,,,,,
Gravedigger,1,68357,Uncommon,M19,98/280,No,No,,,,,
Abnormal Endurance,1,68331,Common,M19,85/280,No,No,,,,,
Dwindle,1,68267,Common,M19,53/280,No,No,,,,,
Epicure of Blood,1,68351,Common,M19,95/280,No,No,,,,,
Island,7,68699,Basic Land,M19,268/280,No,No,,,,,
Swamp,9,68707,Basic Land,M19,272/280,No,No,,,,,
,,,,,,,,,,,,
Ajani's Welcome,2,68173,Uncommon,M19,6/280,No,Yes,,,,,
Dwarven Priest,1,68183,Common,M19,11/280,No,Yes,,,,,
Invoke the Divine,1,68193,Common,M19,16/280,No,Yes,,,,,
Rustwing Falcon,1,68233,Common,M19,36/280,No,Yes,,,,,
Totally Lost,1,68323,Common,M19,81/280,No,Yes,,,,,
Abnormal Endurance,1,68331,Common,M19,85/280,No,Yes,,,,,
Duress,2,68349,Common,M19,94/280,No,Yes,,,,,
Hired Blade,1,68361,Common,M19,100/280,No,Yes,,,,,
Walking Corpse,1,68413,Common,M19,126/280,No,Yes,,,,,
Crash Through,1,68427,Common,M19,133/280,No,Yes,,,,,
Fire Elemental,1,68443,Common,M19,141/280,No,Yes,,,,,
Field Creeper,1,68631,Common,M19,234/280,No,Yes,,,,,
Manalith,1,68641,Common,M19,239/280,No,Yes,,,,,
Cinder Barrens,1,68659,Common,M19,248/280,No,Yes,,,,,
Meandering River,1,68669,Common,M19,253/280,No,Yes,,,,,
Scholar of Stars,1,68303,Common,M19,71/280,No,Yes,,,,,
Plains,1,68687,Basic Land,M19,262/280,No,Yes,,,,,
Swamp,1,68707,Basic Land,M19,272/280,No,Yes,,,,,
Forest,1,68719,Basic Land,M19,278/280,No,Yes,,,,,
