Card Name,Quantity,ID #,Rarity,Set,Collector #,Premium,Sideboarded,Match Wins,Match Loss,Game Wins,Game Loss,Date
Lightning Strike,1,68465,Uncommon,M19,152/280,No,No,2,1,5,4,7/11/2018
Dwindle,2,68267,Common,M19,53/280,No,No,,,,,
Psychic Corrosion,2,68297,Uncommon,M19,68/280,No,No,,,,,
Arcane Encyclopedia,1,68617,Uncommon,M19,227/280,No,No,,,,,
Fiery Finish,1,68441,Uncommon,M19,140/280,No,No,,,,,
Exclusion Mage,1,68271,Uncommon,M19,55/280,No,No,,,,,
Wall of Mist,1,68327,Common,M19,83/280,No,No,,,,,
Tormenting Voice,1,68489,Common,M19,164/280,No,No,,,,,
Surge Mare,1,68315,Uncommon,M19,77/280,No,No,,,,,
Omenspeaker,1,68289,Common,M19,64/280,No,No,,,,,
Sift,1,68305,Uncommon,M19,72/280,No,No,,,,,
Shock,1,68473,Common,M19,156/280,No,No,,,,,
Enigma Drake,1,68593,Uncommon,M19,216/280,No,No,,,,,
Essence Scatter,3,68269,Common,M19,54/280,No,No,,,,,
Electrify,1,68439,Common,M19,139/280,No,No,,,,,
Anticipate,2,68249,Common,M19,44/280,No,No,,,,,
Salvager of Secrets,1,68301,Common,M19,70/280,No,No,,,,,
Divination,1,68263,Common,M19,51/280,No,No,,,,,
Bone to Ash,1,68255,Uncommon,M19,47/280,No,No,,,,,
Island,10,68699,Basic Land,M19,268/280,No,No,,,,,
Mountain,6,68715,Basic Land,M19,276/280,No,No,,,,,
,,,,,,,,,,,,
Gearsmith Prodigy,1,68275,Common,M19,57/280,No,Yes,,,,,
Skilled Animator,1,68307,Uncommon,M19,73/280,No,Yes,,,,,
Two-Headed Zombie,1,68407,Common,M19,123/280,No,Yes,,,,,
Catalyst Elemental,1,68425,Common,M19,132/280,No,Yes,,,,,
Crash Through,1,68427,Common,M19,133/280,No,Yes,,,,,
Doublecast,1,68435,Uncommon,M19,137/280,No,Yes,,,,,
Omenspeaker,1,68289,Common,M19,64/280,No,Yes,,,,,
Tolarian Scholar,1,68321,Common,M19,80/280,No,Yes,,,,,
Cancel,1,68257,Common,M19,48/280,No,Yes,,,,,
Frilled Sea Serpent,1,68273,Common,M19,56/280,No,Yes,,,,,
Sure Strike,1,68483,Common,M19,161/280,No,Yes,,,,,
Fire Elemental,1,68443,Common,M19,141/280,No,Yes,,,,,
Scholar of Stars,1,68303,Common,M19,71/280,No,Yes,,,,,
Wall of Mist,1,68327,Common,M19,83/280,No,Yes,,,,,
Field Creeper,1,68631,Common,M19,234/280,No,Yes,,,,,
Gearsmith Guardian,2,68637,Common,M19,237/280,No,Yes,,,,,
Island,1,68693,Basic Land,M19,265/280,No,Yes,,,,,
Island,1,68695,Basic Land,M19,266/280,No,Yes,,,,,
Forest,1,68723,Basic Land,M19,280/280,No,Yes,,,,,
Sparktongue Dragon,1,68479,Common,M19,159/280,No,Yes,,,,,
