Card Name,Quantity,ID #,Rarity,Set,Collector #,Premium,Sideboarded,Match Wins,Match Loss,Game Wins,Game Loss,Date
Sigiled Sword of Valeron,1,68651,Rare,M19,244/280,No,No,3,0,6,1,7/12/2018
Murder,1,68381,Uncommon,M19,110/280,No,No,,,,,
Militia Bugler,2,68219,Uncommon,M19,29/280,No,No,,,,,
Angel of the Dawn,1,68175,Common,M19,7/280,No,No,,,,,
Swamp,7,68707,Basic Land,M19,272/280,No,No,,,,,
Marauder's Axe,1,68643,Common,M19,240/280,No,No,,,,,
Luminous Bonds,2,68211,Common,M19,25/280,No,No,,,,,
Skyscanner,2,68653,Common,M19,245/280,No,No,,,,,
Abnormal Endurance,1,68331,Common,M19,85/280,No,No,,,,,
Novice Knight,1,68221,Uncommon,M19,30/280,No,No,,,,,
Child of Night,1,68339,Common,M19,89/280,No,No,,,,,
"Lena, Selfless Champion",1,68203,Rare,M19,21/280,No,No,,,,,
Forsaken Sanctuary,1,68663,Common,M19,250/280,No,No,,,,,
Valiant Knight,1,68245,Rare,M19,42/280,No,No,,,,,
Ajani's Pridemate,1,68171,Uncommon,M19,5/280,No,No,,,,,
Two-Headed Zombie,1,68407,Common,M19,123/280,No,No,,,,,
Fell Specter,1,68353,Uncommon,M19,96/280,No,No,,,,,
Vampire Neonate,1,68409,Common,M19,124/280,No,No,,,,,
Resplendent Angel,1,68229,Mythic Rare,M19,34/280,No,No,,,,,
Regal Bloodlord,1,68607,Uncommon,M19,222/280,No,No,,,,,
Plains,9,68691,Basic Land,M19,264/280,No,No,,,,,
Shield Mare,1,68235,Uncommon,M19,37/280,No,No,,,,,
Daybreak Chaplain,1,68181,Common,M19,10/280,No,No,,,,,
,,,,,,,,,,,,
Ajani's Welcome,2,68173,Uncommon,M19,6/280,No,Yes,,,,,
Dwarven Priest,2,68183,Common,M19,11/280,No,Yes,,,,,
Invoke the Divine,1,68193,Common,M19,16/280,No,Yes,,,,,
Bogstomper,1,68335,Common,M19,87/280,No,Yes,,,,,
Duress,1,68349,Common,M19,94/280,No,Yes,,,,,
Infectious Horror,2,68363,Common,M19,101/280,No,Yes,,,,,
Walking Corpse,3,68413,Common,M19,126/280,No,Yes,,,,,
Goblin Motivator,1,68447,Common,M19,143/280,No,Yes,,,,,
Druid of the Cowl,1,68515,Common,M19,177/280,No,Yes,,,,,
Highland Game,1,68537,Common,M19,188/280,No,Yes,,,,,
Ravenous Harpy,1,68391,Uncommon,M19,115/280,No,Yes,,,,,
Child of Night,1,68339,Common,M19,89/280,No,Yes,,,,,
Knight of the Tusk,1,68197,Common,M19,18/280,No,Yes,,,,,
Plains,1,68685,Basic Land,M19,261/280,No,Yes,,,,,
Plains,1,68689,Basic Land,M19,263/280,No,Yes,,,,,
Swamp,1,68701,Basic Land,M19,269/280,No,Yes,,,,,
