Card Name,Quantity,ID #,Rarity,Set,Collector #,Premium,Sideboarded,Match Wins,Match Loss,Game Wins,Game Loss,Date
Colossal Dreadmaw,2,68505,Common,M19,172/280,No,No,1,1,2,2,7/13/2018
Dryad Greenseeker,1,68517,Uncommon,M19,178/280,No,No,,,,,
Strangling Spores,2,68405,Common,M19,122/280,No,No,,,,,
Bristling Boar,2,68501,Common,M19,170/280,No,No,,,,,
Druid of the Cowl,2,68515,Common,M19,177/280,No,No,,,,,
Skymarch Bloodletter,3,68399,Common,M19,119/280,No,No,,,,,
Thornhide Wolves,1,68569,Common,M19,204/280,No,No,,,,,
Explosive Apparatus,1,68629,Common,M19,233/280,No,No,,,,,
Arcane Encyclopedia,2,68617,Uncommon,M19,227/280,No,No,,,,,
Elvish Rejuvenator,1,68521,Common,M19,180/280,No,No,,,,,
Lich's Caress,1,68371,Common,M19,105/280,No,No,,,,,
Rabid Bite,1,68551,Common,M19,195/280,No,No,,,,,
Ghastbark Twins,1,68523,Uncommon,M19,181/280,No,No,,,,,
Swamp,7,68707,Basic Land,M19,272/280,No,No,,,,,
Skeleton Archer,1,68397,Common,M19,118/280,No,No,,,,,
Forest,10,68723,Basic Land,M19,280/280,No,No,,,,,
Daggerback Basilisk,1,68509,Common,M19,174/280,No,No,,,,,
Reassembling Skeleton,1,68393,Uncommon,M19,116/280,No,No,,,,,
,,,,,,,,,,,,
Rustwing Falcon,1,68233,Common,M19,36/280,No,Yes,,,,,
Anticipate,1,68249,Common,M19,44/280,No,Yes,,,,,
Bogstomper,1,68335,Common,M19,87/280,No,Yes,,,,,
Diregraf Ghoul,1,68345,Uncommon,M19,92/280,No,Yes,,,,,
Duress,1,68349,Common,M19,94/280,No,Yes,,,,,
Mind Rot,1,68379,Common,M19,109/280,No,Yes,,,,,
Sovereign's Bite,1,68401,Common,M19,120/280,No,Yes,,,,,
Walking Corpse,1,68413,Common,M19,126/280,No,Yes,,,,,
Electrify,1,68439,Common,M19,139/280,No,Yes,,,,,
Trumpet Blast,1,68491,Common,M19,165/280,No,Yes,,,,,
Bristling Boar,1,68501,Common,M19,170/280,No,Yes,,,,,
Greenwood Sentinel,1,68535,Common,M19,187/280,No,Yes,,,,,
Naturalize,2,68541,Common,M19,190/280,No,Yes,,,,,
Plummet,1,68547,Common,M19,193/280,No,Yes,,,,,
Wall of Vines,3,68581,Common,M19,210/280,No,Yes,,,,,
Vampire Neonate,1,68409,Common,M19,124/280,No,Yes,,,,,
Epicure of Blood,1,68351,Common,M19,95/280,No,Yes,,,,,
Plains,1,68685,Basic Land,M19,261/280,No,Yes,,,,,
Island,1,68693,Basic Land,M19,265/280,No,Yes,,,,,
