Card Name,Quantity,ID #,Rarity,Set,Collector #,Premium,Sideboarded,Match Wins,Match Loss,Game Wins,Game Loss,Date
Djinn of Wishes,1,68265,Rare,M19,52/280,No,No,3,0,6,2,7/14/2018
Exclusion Mage,3,68271,Uncommon,M19,55/280,No,No,,,,,
Field Creeper,1,68631,Common,M19,234/280,No,No,,,,,
Gearsmith Guardian,1,68637,Common,M19,237/280,No,No,,,,,
Skilled Animator,1,68307,Uncommon,M19,73/280,No,No,,,,,
Scholar of Stars,1,68303,Common,M19,71/280,No,No,,,,,
Explosive Apparatus,2,68629,Common,M19,233/280,No,No,,,,,
Murder,1,68381,Uncommon,M19,110/280,No,No,,,,,
Gearsmith Prodigy,3,68275,Common,M19,57/280,No,No,,,,,
Island,9,68699,Basic Land,M19,268/280,No,No,,,,,
Gravedigger,1,68357,Uncommon,M19,98/280,No,No,,,,,
Infernal Scarring,1,68367,Common,M19,103/280,No,No,,,,,
Mirror Image,1,68283,Uncommon,M19,61/280,No,No,,,,,
Marauder's Axe,1,68643,Common,M19,240/280,No,No,,,,,
Swamp,7,68707,Basic Land,M19,272/280,No,No,,,,,
Diregraf Ghoul,2,68345,Uncommon,M19,92/280,No,No,,,,,
Disperse,2,68261,Common,M19,50/280,No,No,,,,,
Diamond Mare,1,68625,Uncommon,M19,231/280,No,No,,,,,
Abnormal Endurance,1,68331,Common,M19,85/280,No,No,,,,,
,,,,,,,,,,,,
Revitalize,1,68231,Common,M19,35/280,No,Yes,,,,,
Anticipate,1,68249,Common,M19,44/280,No,Yes,,,,,
Dwindle,1,68267,Common,M19,53/280,No,Yes,,,,,
Frilled Sea Serpent,1,68273,Common,M19,56/280,No,Yes,,,,,
Ghostform,1,68277,Common,M19,58/280,No,Yes,,,,,
Salvager of Secrets,1,68301,Common,M19,70/280,No,Yes,,,,,
Phylactery Lich,1,68387,Rare,M19,113/280,No,Yes,,,,,
Tectonic Rift,1,68485,Uncommon,M19,162/280,No,Yes,,,,,
Root Snare,1,68559,Common,M19,199/280,No,Yes,,,,,
Psychic Symbiont,1,68605,Uncommon,M19,221/280,No,Yes,,,,,
Scholar of Stars,2,68303,Common,M19,71/280,No,Yes,,,,,
Gearsmith Guardian,2,68637,Common,M19,237/280,No,Yes,,,,,
Divination,1,68263,Common,M19,51/280,No,Yes,,,,,
Manalith,1,68641,Common,M19,239/280,No,Yes,,,,,
Sift,1,68305,Uncommon,M19,72/280,No,Yes,,,,,
Submerged Boneyard,1,68677,Common,M19,257/280,No,Yes,,,,,
Island,1,68699,Basic Land,M19,268/280,No,Yes,,,,,
Swamp,1,68707,Basic Land,M19,272/280,No,Yes,,,,,
Forest,1,68717,Basic Land,M19,277/280,No,Yes,,,,,
