Card Name,Quantity,ID #,Rarity,Set,Collector #,Premium,Sideboarded,Match Wins,Match Loss,Game Wins,Game Loss,Date
Bogstomper,1,68335,Common,M19,87/280,No,No,2,1,4,2,7/9/2018
Murder,1,68381,Uncommon,M19,110/280,No,No,,,,,
Giant Spider,1,68527,Common,M19,183/280,No,No,,,,,
Thornhide Wolves,1,68569,Common,M19,204/280,No,No,,,,,
Colossal Dreadmaw,2,68505,Common,M19,172/280,No,No,,,,,
Suspicious Bookcase,1,68655,Uncommon,M19,246/280,No,No,,,,,
Plague Mare,2,68389,Uncommon,M19,114/280,No,No,,,,,
Lich's Caress,1,68371,Common,M19,105/280,No,No,,,,,
Colossal Majesty,1,68507,Uncommon,M19,173/280,No,No,,,,,
Meteor Golem,1,68645,Uncommon,M19,241/280,No,No,,,,,
Vivien's Invocation,1,68579,Rare,M19,209/280,No,No,,,,,
Druid of the Cowl,1,68515,Common,M19,177/280,No,No,,,,,
Forest,8,68723,Basic Land,M19,280/280,No,No,,,,,
Chaos Wand,1,68619,Rare,M19,228/280,No,No,,,,,
Foul Orchard,1,68665,Common,M19,251/280,No,No,,,,,
Wall of Vines,1,68581,Common,M19,210/280,No,No,,,,,
Dryad Greenseeker,1,68517,Uncommon,M19,178/280,No,No,,,,,
Elvish Rejuvenator,1,68521,Common,M19,180/280,No,No,,,,,
Centaur Courser,3,68503,Common,M19,171/280,No,No,,,,,
Vigilant Baloth,1,68573,Uncommon,M19,206/280,No,No,,,,,
Swamp,8,68707,Basic Land,M19,272/280,No,No,,,,,
Wall of Vines,1,68582,Common,M19,210/280,Yes,No,,,,,
,,,,,,,,,,,,
Cancel,1,68257,Common,M19,48/280,No,Yes,,,,,
Scholar of Stars,1,68303,Common,M19,71/280,No,Yes,,,,,
Switcheroo,1,68317,Uncommon,M19,78/280,No,Yes,,,,,
Tolarian Scholar,1,68321,Common,M19,80/280,No,Yes,,,,,
Crash Through,1,68427,Common,M19,133/280,No,Yes,,,,,
Doublecast,1,68435,Uncommon,M19,137/280,No,Yes,,,,,
Fiery Finish,1,68441,Uncommon,M19,140/280,No,Yes,,,,,
Siegebreaker Giant,1,68475,Uncommon,M19,157/280,No,Yes,,,,,
Highland Game,1,68537,Common,M19,188/280,No,Yes,,,,,
Naturalize,1,68541,Common,M19,190/280,No,Yes,,,,,
Talons of Wildwood,1,68565,Common,M19,202/280,No,Yes,,,,,
Greenwood Sentinel,1,68535,Common,M19,187/280,No,Yes,,,,,
Timber Gorge,1,68679,Common,M19,258/280,No,Yes,,,,,
Hired Blade,1,68361,Common,M19,100/280,No,Yes,,,,,
Rupture Spire,1,68673,Uncommon,M19,255/280,No,Yes,,,,,
Shock,2,68473,Common,M19,156/280,No,Yes,,,,,
Child of Night,1,68339,Common,M19,89/280,No,Yes,,,,,
Swamp,1,68701,Basic Land,M19,269/280,No,Yes,,,,,
Mountain,1,68709,Basic Land,M19,273/280,No,Yes,,,,,
Forest,1,68717,Basic Land,M19,277/280,No,Yes,,,,,
