Card Name,Quantity,ID #,Rarity,Set,Collector #,Premium,Sideboarded,Match Wins,Match Loss,Game Wins,Game Loss,Date
Shock,1,68473,Common,M19,156/280,No,No,0,1,0,2,7/13/2018
Mountain,8,68715,Basic Land,M19,276/280,No,No,,,,,
Hungering Hydra,1,68539,Rare,M19,189/280,No,No,,,,,
Druid of the Cowl,2,68515,Common,M19,177/280,No,No,,,,,
Centaur Courser,2,68503,Common,M19,171/280,No,No,,,,,
Ghastbark Twins,1,68523,Uncommon,M19,181/280,No,No,,,,,
Reclamation Sage,1,68553,Uncommon,M19,196/280,No,No,,,,,
Forest,9,68723,Basic Land,M19,280/280,No,No,,,,,
Rhox Oracle,2,68557,Common,M19,198/280,No,No,,,,,
Bristling Boar,2,68501,Common,M19,170/280,No,No,,,,,
Havoc Devils,2,68453,Common,M19,146/280,No,No,,,,,
Onakke Ogre,1,68467,Common,M19,153/280,No,No,,,,,
Goblin Motivator,2,68447,Common,M19,143/280,No,No,,,,,
Crash Through,2,68427,Common,M19,133/280,No,No,,,,,
Fire Elemental,1,68443,Common,M19,141/280,No,No,,,,,
Draconic Disciple,1,68591,Uncommon,M19,215/280,No,No,,,,,
Colossal Dreadmaw,1,68505,Common,M19,172/280,No,No,,,,,
Dryad Greenseeker,1,68517,Uncommon,M19,178/280,No,No,,,,,
,,,,,,,,,,,,
Revitalize,1,68231,Common,M19,35/280,No,Yes,,,,,
Anticipate,1,68249,Common,M19,44/280,No,Yes,,,,,
Abnormal Endurance,1,68331,Common,M19,85/280,No,Yes,,,,,
Infectious Horror,1,68363,Common,M19,101/280,No,Yes,,,,,
Two-Headed Zombie,1,68407,Common,M19,123/280,No,Yes,,,,,
Goblin Instigator,1,68445,Common,M19,142/280,No,Yes,,,,,
Hostile Minotaur,1,68455,Common,M19,147/280,No,Yes,,,,,
Lightning Mare,1,68463,Uncommon,M19,151/280,No,Yes,,,,,
Naturalize,1,68541,Common,M19,190/280,No,Yes,,,,,
Plummet,1,68547,Common,M19,193/280,No,Yes,,,,,
Fire Elemental,1,68443,Common,M19,141/280,No,Yes,,,,,
Recollect,1,68555,Uncommon,M19,197/280,No,Yes,,,,,
Tormenting Voice,1,68489,Common,M19,164/280,No,Yes,,,,,
Suspicious Bookcase,1,68655,Uncommon,M19,246/280,No,Yes,,,,,
Poison-Tip Archer,1,68603,Uncommon,M19,220/280,No,Yes,,,,,
Manalith,2,68641,Common,M19,239/280,No,Yes,,,,,
Onakke Ogre,1,68467,Common,M19,153/280,No,Yes,,,,,
Foul Orchard,1,68665,Common,M19,251/280,No,Yes,,,,,
Rupture Spire,1,68673,Uncommon,M19,255/280,No,Yes,,,,,
Forest,1,68719,Basic Land,M19,278/280,No,Yes,,,,,
Forest,1,68723,Basic Land,M19,280/280,No,Yes,,,,,
